member_casual,day_of_week,number_of_rides,avg_ride_length_seconds,avg_ride_length_minutes
casual,Sunday,18578,2451.430132,40.85716887
casual,Monday,6672,1724.753447,28.74589079
casual,Tuesday,7949,1956.619952,32.61033254
casual,Wednesday,8328,2267.907901,37.79846502
casual,Thursday,7729,1945.64368,32.42739466
casual,Friday,8466,2097.451453,34.95752421
casual,Saturday,13416,2336.740906,38.94568177
member,Sunday,60197,972.9383358,16.21563893
member,Monday,110430,822.3112017,13.70518669
member,Tuesday,127974,769.4416288,12.82402715
member,Wednesday,121903,711.9780973,11.86630162
member,Thursday,125228,707.2092743,11.78682124
member,Friday,115168,796.7337889,13.27889648
member,Saturday,59413,974.0729638,16.2345494
